date,2020,last3,last1,home,away,2019
2020-02-25,8.8%,11.0%,12.8%,8.9%,8.8%,6.5%
2020-02-26,8.8%,9.2%,5.7%,8.8%,8.8%,6.5%
2020-02-27,8.8%,9.2%,5.7%,8.8%,8.8%,6.5%
2020-02-28,8.8%,9.2%,5.7%,8.8%,8.8%,6.5%
2020-02-29,8.8%,9.2%,5.7%,8.8%,8.8%,6.5%
2020-03-01,8.8%,9.8%,10.5%,8.8%,8.8%,6.5%
2020-03-02,8.8%,9.8%,10.5%,8.8%,8.8%,6.5%
2020-03-03,8.8%,7.5%,6.2%,8.7%,8.8%,6.5%
2020-03-04,8.8%,7.5%,6.2%,8.7%,8.8%,6.5%
2020-03-05,8.8%,8.9%,10.0%,8.7%,8.8%,6.5%
2020-03-06,8.8%,8.9%,10.0%,8.7%,8.8%,6.5%
2020-03-07,8.8%,8.6%,10.6%,8.8%,8.8%,6.5%
2020-03-08,8.8%,8.6%,10.6%,8.8%,8.8%,6.5%
2020-03-09,8.9%,10.7%,12.5%,8.8%,8.9%,6.5%
2020-03-10,8.9%,10.7%,12.5%,8.8%,8.9%,6.5%
2020-03-11,8.8%,10.2%,7.4%,8.7%,8.9%,6.5%
2020-03-12,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-03-13,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-03-14,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-03-15,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-03-16,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-03-17,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-03-18,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-03-19,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-03-20,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-03-21,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-03-22,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-03-23,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-03-24,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-03-25,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-03-26,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-03-27,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-03-28,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-03-29,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-03-30,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-03-31,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-01,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-02,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-03,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-04,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-05,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-06,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-07,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-08,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-09,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-10,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-11,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-12,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-13,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-14,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-15,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-16,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-17,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-18,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-19,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-20,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-21,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-22,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-23,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-24,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-25,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-26,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-27,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-28,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-29,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-04-30,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-01,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-02,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-03,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-04,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-05,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-06,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-07,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-08,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-09,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-10,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-11,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-12,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-13,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-14,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-15,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-16,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-17,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-18,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-19,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-20,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-21,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-22,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-23,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-24,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-25,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-26,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-27,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-28,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-29,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-30,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-05-31,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-01,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-02,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-03,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-04,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-05,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-06,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-07,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-08,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-09,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-10,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-11,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-12,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-13,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-14,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-15,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-16,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-17,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-18,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-19,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-20,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-21,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-22,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-23,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-24,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-25,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-26,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-27,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-28,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-29,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-06-30,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-01,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-02,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-03,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-04,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-05,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-06,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-07,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-08,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-09,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-10,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-11,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-12,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-13,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-14,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-15,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-16,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-17,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-18,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-19,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-20,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-21,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-22,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-23,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-24,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-25,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-26,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-27,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-28,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-29,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-30,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-07-31,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-01,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-02,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-03,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-04,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-05,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-06,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-07,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-08,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-09,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-10,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-11,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-12,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-13,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-14,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-15,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-16,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-17,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-18,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-19,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-20,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-21,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-22,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-23,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-24,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-25,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-26,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-27,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-28,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-29,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-30,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-08-31,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-01,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-02,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-03,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-04,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-05,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-06,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-07,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-08,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-09,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-10,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-11,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-12,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-13,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-14,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-15,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-16,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-17,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-18,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-19,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-20,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-21,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-22,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-23,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-24,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-25,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-26,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-27,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-28,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-29,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-09-30,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-01,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-02,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-03,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-04,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-05,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-06,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-07,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-08,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-09,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-10,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-11,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-12,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-13,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-14,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-15,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-16,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-17,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-18,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-19,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-20,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-21,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-22,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-23,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-24,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-25,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-26,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-27,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-28,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-29,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-30,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-10-31,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-01,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-02,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-03,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-04,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-05,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-06,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-07,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-08,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-09,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-10,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-11,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-12,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-13,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-14,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-15,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-16,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-17,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-18,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-19,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-20,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-21,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-22,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-23,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-24,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-25,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-26,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-27,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-28,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-29,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-11-30,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-12-01,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-12-02,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-12-03,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-12-04,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-12-05,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-12-06,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-12-07,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-12-08,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-12-09,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-12-10,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-12-11,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-12-12,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-12-13,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-12-14,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-12-15,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-12-16,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-12-17,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-12-18,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-12-19,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-12-20,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-12-21,8.9%,10.2%,7.4%,8.8%,8.9%,6.5%
2020-12-22,--,--,--,--,--,8.9%
2020-12-23,--,--,--,--,--,8.9%
2020-12-24,8.5%,8.5%,8.5%,8.5%,--,8.9%
2020-12-25,8.5%,8.5%,8.5%,8.5%,--,8.9%
2020-12-26,8.5%,8.5%,8.5%,8.5%,--,8.9%
2020-12-27,7.2%,7.2%,5.9%,7.2%,--,8.9%
2020-12-28,5.8%,5.8%,3.1%,5.8%,--,8.9%
2020-12-29,5.8%,5.8%,3.1%,5.8%,--,8.9%
2020-12-30,5.8%,4.9%,5.9%,5.8%,5.9%,8.9%
2020-12-31,5.8%,4.9%,5.9%,5.8%,5.9%,8.9%
